Qty,DK_PN,MPN,Manufacturer
5,1276-1097-1-ND,CL31B105KAHNNNE,Samsung Electro-Mechanics
13,1276-1017-1-ND,CL31B104KBCNNNC,Samsung Electro-Mechanics
1,399-C1206C103JARAC7800CT-ND,C1206C103JARAC7800,KEMET
3,399-C1812X204KDRLCAUTOCT-ND,C1812X204KDRLCAUTO,KEMET
3,13-CC1206FRNPO9BN152CT-ND,CC1206FRNPO9BN152,YAGEO
10,399-C1206C100F1HACAUTOCT-ND,C1206C100F1HACAUTO,KEMET
3,1276-1138-1-ND,CL31B334KBFNNNE,Samsung Electro-Mechanics
4,311-4424-1-ND,CC1206JRNPO9BN820,YAGEO
3,732-4986-1-ND,150080VS75000,Würth Elektronik
1,2N2222AUBMS-ND,2N2222AUB,Microchip Technology
10,RNCS1206BKE1K00CT-ND,RNCS1206BKE1K00,Stackpole Electronics Inc
15,TNP10.0KACCT-ND,TNPW120610K0BEEA,Vishay Dale
5,RNCF1206BKE1M00CT-ND,RNCF1206BKE1M00,Stackpole Electronics Inc
1,P1.5KBCCT-ND,ERA-8AEB152V,Panasonic Electronic Components
3,749-MCA1206MD1005BP500CT-ND,MCA1206MD1005BP500,Vishay Dale
1,P5.9KBCCT-ND,ERA-8AEB5901V,Panasonic Electronic Components
2,RTAN1206BKE22R0CT-ND,RTAN1206BKE22R0,Stackpole Electronics Inc
1,296-39169-1-ND,SE555DR,Texas Instruments
1,296-27193-1-ND,ADS7882IPFBT,Texas Instruments
1,255-2705-ND,ARS14Y03,Panasonic Electric Works
2,296-26258-1-ND,OPA2350UA/2K5,Texas Instruments
1,497-1219-1-ND,L79L05ACUTR,STMicroelectronics
1,497-1200-1-ND,L78L33ACUTR,STMicroelectronics
1,497-1183-1-ND,L78L05ACUTR,STMicroelectronics
